69,61,1
70,61,1
69,62,1
70,62,1
69,63,1
70,63,1
71,63,1
72,63,1
69,64,1
70,64,1
71,64,1
72,64,1
73,64,1
74,64,1
75,64,1
76,64,1
69,65,1
70,65,1
71,65,1
72,65,1
73,65,1
74,65,1
75,65,1
76,65,1
70,66,1
71,66,1
72,66,1
73,66,1
74,66,1
75,66,1
76,66,1
77,66,1
70,67,1
71,67,1
72,67,1
73,67,1
74,67,1
75,67,1
76,67,1
70,68,1
71,68,1
72,68,1
73,68,1
74,68,1
75,68,1
76,68,1
71,69,1
72,69,1
73,69,1
74,69,1
75,69,1
76,69,1
72,70,1
73,70,1
74,70,1
71,71,1
73,71,1
74,71,1
75,71,1
76,71,1
79,71,1
73,72,1
74,72,1
75,72,1
76,72,1
77,72,1
78,72,1
79,72,1
82,72,1
83,72,1
84,72,1
73,73,1
74,73,1
75,73,1
76,73,1
77,73,1
78,73,1
79,73,1
80,73,1
81,73,1
82,73,1
83,73,1
84,73,1
73,74,1
74,74,1
75,74,1
76,74,1
77,74,1
78,74,1
79,74,1
80,74,1
81,74,1
82,74,1
83,74,1
84,74,1
85,74,1
73,75,1
74,75,1
75,75,1
76,75,1
77,75,1
78,75,1
79,75,1
80,75,1
81,75,1
82,75,1
83,75,1
85,75,1
86,75,1
74,76,1
75,76,1
78,76,1
79,76,1
85,76,1
86,76,1
